store_id,chain,store_name,sale_start,sale_end,product_name,specification,price_ex_tax_yen,price_in_tax_yen,tax_rate,promotion,category,availability_rule,scope_level,source_type,validation_status,source_url,source_image,source_fingerprint,verification_note
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,自社製タルタルソースで食べる北海道産鱈フライ,1パック,390,421,0.08,,惣菜,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,豚丼（ソラチのたれ使用）,1パック,699,754,0.08,,惣菜,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,北海道産あまに豚入り よくばりカレー,1パック,590,637,0.08,,惣菜,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,北海道産じゃが芋コロッケ（あまに豚入り）,1袋（5コ入）,280,302,0.08,,惣菜,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,北海道名物 豚丼のたれ,108g,199,214,0.08,,調味料,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,北海道コーンもっち〜,1袋（5コ入）,348,375,0.08,,惣菜,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,ちくわパン（ツナ）,1コ,228,246,0.08,,ベーカリー,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,北海道産帆立照焼き重,1パック,880,950,0.08,,惣菜,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,北海道産帆立＆コーン使用の塩焼きそば,1パック,550,594,0.08,,惣菜,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,北海道産3種チーズ＆コーンのグラタン,1パック,459,495,0.08,,惣菜,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,北海道産ポテトとサーモンのチーズ焼き,1パック（3コ）,499,538,0.08,,惣菜,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,じゃがベーコン,1コ,198,213,0.08,,ベーカリー,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-14,長沼じんぎすかん ラム味付,350g,890,961,0.08,,精肉,,verified_snapshot,local_original_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,324a71fbe3f0683159ae6f12160e40c81c9f032fb4925ca9f80c3c796f4d3355,current-issue-general-9/12-9/14-visual-check
